GeneID	CON_1	GFP_1	CON_2	GFP_2	CON_3	GFP_3
Ndufb8	6483	2341	9803	15019	23440	3541
Ndufb9	6738	2126	12616	18105	43591	3869
Ndufc1	1467	800	2679	7653	13376	3260
Ndufc2	2198	836	2675	420	4445	0
Ndufs1	3091	1234	4732	1169	718	0
Ndufs2	4437	800	8077	1484	2154	0
Ndufs3	798	208	1062	348	2228	5
Ndufs4	2410	1014	3215	793	9902	0
Ndufs5	259	61	1004	1049	2498	311
Ndufs6	1584	635	3830	1185	10330	6
Ndufs7	4215	655	5991	1356	2569	62
Ndufs8	3975	953	5585	884	6473	1
Ndufv1	4284	612	6255	6237	1356	1174
Ndufv2	6582	2147	11164	8530	8698	1742
Ndufv3	3338	1479	4415	2763	17447	390
Neat1	2738	157	3547	1083	35	84
Neb	138	25	99	33	53	0
Nebl	333	166	421	108	36	0
Necab1	566	225	897	115	156	0
Necab2	128	537	270	1634	11	10
Necab3	148	74	185	103	1577	0
Necap1	3509	962	3722	500	2376	1
Necap2	1184	480	2192	1422	85	8
Nectin1	183	19	138	33	1	0
Nectin2	1205	120	1690	124	24	2
Nectin3	1852	452	1257	156	50	0
Nectin4	176	140	432	339	1764	1
Nedd1	346	6	964	138	1	0
Nedd4	4651	896	14272	5952	2437	1088
Nedd4l	1152	285	2626	5536	113	1405
Nedd8	6565	3006	8808	11437	17094	2299
Nedd9	1163	81	1949	90	1	0
Nefh	1554	2286	2839	6763	2036	795
Nefl	12543	5255	16960	24046	22788	4116
Nefm	3506	5241	4933	12158	11841	1319
Negr1	106	4	330	1429	24	462
Neil1	129	28	356	90	25	3
Neil2	10	6	0	4	0	3
Neil3	58	1	276	50	1	10
Nek1	684	267	993	95	2	0
Nek10	25	11	2	2	9	0
Nek11	27	14	21	4	3	0
Nek2	29	0	259	44	11	0
Nek3	381	137	373	193	26	0
Nek4	163	67	453	68	3	0
Nek5	29	16	32	5	1	0
Nek6	833	39	2589	293	15	0
Nek7	2204	218	8536	3215	3136	462
Nek8	302	38	934	288	0	0
Nek9	655	165	1415	2241	17	818
Nelfa	698	44	1345	96	1	0
Nelfb	1796	1357	3992	1519	2376	0
Nelfcd	1139	148	1855	6721	1753	1600
Nelfe	916	104	1986	386	3408	10
Nell1	83	3	129	5	5	0
Nell1os	9	2	0	0	0	0
Nell2	31	1	91	4	3	0
Nemf	1894	1910	2619	1814	4161	363
Nemp1	130	59	244	91	1	1
Nemp2	60	35	173	15	115	0
Nenf	1794	432	2565	3752	3443	774
Neo1	358	0	588	40	43	0
Nepn	0	1	0	1	0	0
Nepro	162	18	147	24	0	0
Nes	2345	160	7531	2741	3563	26
Nespas	22	0	6	49	0	0
Net1	169	21	1022	287	2	0
Neto1	10	1	23	2	1	0
Neto2	381	165	836	119	0	4
Neu1	795	170	1334	68	28	0
Neu2	49	1	0	2	0	0
Neu3	115	21	93	18	26	0
Neu4	33	1	0	5	0	0
Neurl1a	325	32	636	35	3535	1
Neurl1b	158	32	137	197	1	112
Neurl2	12	4	51	0	0	0
Neurl3	304	11	529	39	1	0
Neurl4	435	33	440	115	8	0
Neurod1	37	5	32	38	10	0
Neurod2	50	6	1	73	0	0
Neurod4	2	0	2	0	0	0
Neurod6	5	1	0	3	0	0
Neurog1	13	0	19	1	0	0
Neurog2	14	0	5	7	3	0
Neurog3	20	2	0	2	0	0
Nexn	309	60	262	27	1486	0
Nf1	258	30	293	25	17	1
Nf2	827	146	1295	222	1	0
Nfam1	12	1	22	13	13	0
Nfasc	194	30	477	59	39	6
Nfat5	599	261	404	240	955	25
Nfatc1	273	91	889	164	13	0
Nfatc2	175	26	277	78	17	7
Nfatc2ip	48	17	54	12	1	0
Nfatc3	564	957	1282	1474	1347	71
Nfatc4	55	3	82	7	15	0
Nfe2	25	24	0	1	0	0
Nfe2l1	3814	518	6762	1056	257	113
Nfe2l2	2679	378	7741	950	1308	8
Nfe2l3	32	54	102	58	0	0
Nfia	507	25	545	62	29	0
Nfib	1766	230	1287	138	975	4
Nfic	1322	153	2595	464	313	121
Nfil3	519	42	1097	5876	1655	1261
Nfix	229	38	381	59	22	0
Nfkb1	634	123	670	109	723	0
Nfkb2	1243	163	2162	246	24	0
Nfkbia	5807	1929	9420	7802	124	16
Nfkbib	1566	114	2229	268	912	5
Nfkbid	74	26	95	13	0	0
Nfkbie	424	12	652	50	2	0
Nfkbil1	160	7	265	33	7	0
Nfkbiz	285	343	2226	5957	58	1524
Nfrkb	325	86	712	150	28	1
Nfs1	1458	350	1855	393	168	8
Nfu1	1564	579	1685	2376	2756	768
Nfx1	1034	123	2816	505	23	0
Nfxl1	255	53	424	105	1	0
Nfya	175	164	179	81	7	6
